CLASS,mAP,mAR,mFAP,mFAR,mAAP,mAAR,ATE,ASE,AOE,AVE,AAE,ADE,FDE,MR,mAP_MR
car,0.8367315826932366,0.9142629564692796,0.4938984563953508,0.7287578002752484,0.6484053961621075,0.8109902747366692,0.15580702259887164,0.1490888759781069,0.046411577070024024,0.23525732077924488,0.2086315487153381,0.6809182309938565,1.8851648197334614,0.23096635917758537,0.4578300306426284
truck,0.5543628518922363,0.8019978401727862,0.380982468238998,0.6745950323974081,0.46247101133103474,0.7329450786794198,0.2831618830034664,0.17290585063195454,0.03411664673469304,0.19104262120979884,0.24418464781457208,0.5799149966268589,1.2176173188313348,0.149247246181808,0.3552831564756921
bus,0.6616775759819888,0.786251212415131,0.31569649883916623,0.5484966052376334,0.4833135111998953,0.6629312733822919,0.29497212486554897,0.1838236058903582,0.026909503692994535,0.3272294176130333,0.2805163149869762,0.79772436515629,1.9118815940758385,0.2835873766066839,0.26075120251487593
trailer,0.3284784550130809,0.6108966108966108,0.27404627151988536,0.5703560703560704,0.3009039080635106,0.5896457682171967,0.47783310035721166,0.19826900091976749,0.32909083595259253,0.19726713186175926,0.25245108593405347,0.6329438118436038,0.965577676681361,0.10621778294819512,0.24030333591507178
construction_vehicle,0.12640393543605616,0.5280898876404495,0.12262008707021385,0.5214805023132849,0.12469772114821426,0.5248560098196582,0.6941979014092935,0.42497656445753,0.8263333782486845,0.13630803852278853,0.34328055085373593,0.75476302641055,0.8160497840014193,0.026481744392855715,0.09670396380957175
pedestrian,0.8269399785167175,0.9575531914893617,0.5414699932255165,0.7878617021276595,0.6979783462896894,0.8816322188449848,0.14115394529207614,0.27071823467320877,0.3321838450599017,0.18854428748226362,0.06970097925979937,0.402333189251772,0.9287393862085414,0.09709206312852971,0.6138423903822119
motorcycle,0.49409476657166984,0.8250673854447439,0.2770274661516538,0.6392183288409704,0.363675508352282,0.7149595687331537,0.1625080676621392,0.2279383041564827,0.148352773257288,0.30367416667144737,0.29689439533280737,0.7147460670258128,1.6698381028607205,0.1600818934087123,0.2804787551840087
bicycle,0.2970248203915453,0.8405975877192982,0.2083646486977157,0.7593201754385965,0.2513410555468659,0.7973840852130325,0.14015400175901768,0.257169768361559,0.18068517280917604,0.16446381395290552,0.017386677375372386,0.4032383038026697,0.929247718470223,0.11814907865279457,0.2118292368184978
traffic_cone,0.6082094526236373,0.9251182592242194,0.6054341687873183,0.9230132450331126,0.6072196367120718,0.9242870658197053,0.14214087537233372,0.33266784228648666,,,,0.16095069444545437,0.1837358973610873,0.0006987808615888555,0.5822699697622028
barrier,0.6145737866500643,0.8887788467584732,0.6027649923641095,0.8823178016726404,0.6087030489668082,0.8856168198273462,0.19966074327254632,0.262206227031209,0.0515152455151014,,,0.22827627235050715,0.2696674431177042,0.009407540962943701,0.5906905964695796
