CLASS,mAP,mAR,mFAP,mFAR,mAAP,mAAR,ATE,ASE,AOE,AVE,AAE,ADE,FDE,MR,mAP_MR
car,0.8760709314575725,0.9502090956612651,0.0,0.0361996863565081,0.0,0.04977223508326488,0.15018739854693608,0.15222681326940385,0.09085549129427563,0.1138325367985327,0.06701737787890602,0.33187659477916936,0.6427903154728283,0.06024450007415829,0.7581135434512496
truck,0.7412218910338603,0.9631578947368421,0.12718147758349008,0.47105263157894733,0.198987326774813,0.6007518796992481,0.1426657071284867,0.13157119242167215,0.0170005027906053,0.045050225389530595,0.0,0.14699831823915385,0.15884839271141374,0.0,0.7168279428034666
bus,0.9534701906297561,0.9924242424242424,0.014478714490483682,0.16666666666666669,0.21825688589349695,0.4199134199134199,0.26299285847675763,0.1524462179136647,0.02462514215933531,0.2857078709508848,0.2582436950356145,1.2392810104851886,3.3785131353997473,0.5606257218091507,0.08460869629059066
trailer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
construction_vehicle,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
pedestrian,0.8805273726747901,0.9440018744142455,0.0,0.04943767572633552,0.0007299204722597895,0.08639041371000133,0.11453040053740798,0.22332945556295494,0.2402056301247397,0.18093515724673828,0.0894206165798473,0.3784892253030258,0.9127912031759179,0.08696491350009182,0.677771414360991
motorcycle,0.6558786959132807,0.852803738317757,0.009185417636480866,0.23831775700934577,0.016561056610238042,0.27953938584779703,0.1723572399682308,0.26793545612925657,0.20753336954697346,0.0493145599960232,0.005529846701336014,0.1829540457252747,0.21622898870139065,0.0064312438899123995,0.6453964338180214
bicycle,0.3260540912591353,0.8680555555555556,0.0,0.2569444444444444,0.005897142428486039,0.3472222222222222,0.19058348802423727,0.1492487137105033,0.15883723424858612,0.2815244105048094,0.0,0.42747283120247653,1.1023460533409664,0.18295292509001423,0.20056708989026298
traffic_cone,0.21184960402081934,0.9928571428571429,0.0020743200089564672,0.42857142857142855,0.07779155346215563,0.6938775510204083,0.10082877591988587,0.3008360514084068,,,,0.09949795197923951,0.09941031583732932,0.0,0.2091756693266162
barrier,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,1.0,1.0,1.0,0.0
