CLASS,mAP,mAR,mFAP,mFAR,mAAP,mAAR,ATE,ASE,AOE,AVE,AAE,ADE,FDE,MR,mAP_MR
static_car,0.7757500958515529,0.9053774305641127,0.704105508479677,0.8607832023067254,0.7376594501114275,0.8800164766106062,0.18520563130783865,0.16540251215808133,0.12788415614469623,0.10341049563523465,0.22355368171009748,0.3094009431053981,0.44389313186266893,0.03191463145007162,0.6862985588292182
static_pedestrian,0.558207356875458,0.934251469401867,0.5025955855315478,0.8848104183473551,0.5270750260859013,0.9068926060685885,0.28669488945845256,0.3106816586422915,0.7816588535226142,0.16014385739843806,0.24730138783499805,0.4414010547764552,0.6069408210256612,0.08719703238655548,0.4464054128974402
moving_car,0.8239095173802325,0.9223487887052784,0.026024906855419486,0.15446013155783733,0.16308708626460855,0.30464291444156677,0.19606441996803284,0.16209061889998086,0.03562166159028047,0.6631982410510836,0.05044423057428289,3.95478803057603,6.28161225702985,0.8614899186527982,0.012083660390888337
moving_pedestrian,0.8892570809054636,0.9815152128449032,0.4467626266778948,0.6630068137354111,0.5875767037179835,0.7690293077360473,0.16731198529048072,0.27097609873095935,0.17774801509442173,0.2371585822051938,0.04221166626446978,0.8145281144063687,1.2001419064718613,0.12401897976469671,0.4035657746249477
