CLASS,mAP,mAR,mFAP,mFAR,mAAP,mAAR,ATE,ASE,AOE,AVE,AAE,ADE,FDE,MR,mAP_MR
static_car,0.8583825664481561,0.9293685356559609,0.82586483510574,0.913581927054981,0.8433774349307119,0.9214557897192629,0.15451759018072916,0.15609903476798714,0.08995558041540964,0.07081469443208092,0.0851677074960588,0.19265292806242626,0.2652644968548129,0.014228587658864412,0.8282833896638933
static_pedestrian,0.6865969132335253,0.9154501216545012,0.6742227938889184,0.9093673965936739,0.6809858273003417,0.9136253041362531,0.2073937615927679,0.2596119482738074,0.6996876957425119,0.08902377131871297,0.3061879593064771,0.2473007108704971,0.30086606246827147,0.0,0.6450956243949988
moving_car,0.6593555653330851,0.756578947368421,0.006850838500539465,0.0756578947368421,0.25746091881762345,0.381578947368421,0.11759052309443252,0.10665424645776164,0.02788289246682612,0.7022869161089567,0.0,2.459813822808915,6.304859578116702,0.8864906412432303,0.0
moving_pedestrian,0.848008727155121,0.9089176829268293,0.5227182771955912,0.7115091463414634,0.7134896146547504,0.8309560104529616,0.1074575184843169,0.2465394654487378,0.10085026813028412,0.20451454895521462,0.0,0.4058072854967435,1.0360802368909465,0.07436019230743351,0.6721499589393267
