CLASS,mAP,mAR,mFAP,mFAR,mAAP,mAAR,ATE,ASE,AOE,AVE,AAE,ADE,FDE,MR,mAP_MR
static_car,0.8631233780453799,0.9333151878062058,0.8386416086370063,0.9209308655416439,0.8525998720911062,0.9277743214868964,0.19843319295581063,0.1776251710429025,0.1702739730191206,0.062273760759958836,0.06441662978216482,0.2237560418358043,0.273082432642357,0.007258211806441105,0.8347466757533591
static_pedestrian,0.3965981264879127,0.9154501216545011,0.38817567185677915,0.9130170316301705,0.3931493457892643,0.912930135557873,0.3948510148971885,0.2860011559062779,0.6323185449074038,0.09873521065974006,0.36445099422325683,0.41665208169362217,0.4494051460194948,0.00809891098273904,0.36885412777535165
moving_car,0.44526386637594084,0.7171052631578947,0.011376744543846943,0.08552631578947369,0.23318888931039738,0.4074248120300752,0.7873390159964384,0.15522855832537646,0.053036747535672356,1.3307997726456773,0.2622354474369104,6.362531342604538,16.145950067674846,1.0,0.0
moving_pedestrian,0.8816638443850533,0.9222560975609756,0.3303434412269521,0.42911585365853655,0.7134038085191765,0.7692726480836237,0.7826451162335373,0.24953908341238487,0.2727729098107531,0.30946299586702136,0.08384159336614155,1.4180048203247824,3.9218772785378957,0.8780485914674304,0.00026021240091850527
