CLASS,mAP,mAR,mFAP,mFAR,mAAP,mAAR,ATE,ASE,AOE,AVE,AAE,ADE,FDE,MR,mAP_MR
static_car,0.8677093044262058,0.9380783886771911,0.8233793755227621,0.9115405552531302,0.8458594546921017,0.923555486429738,0.16443647168650188,0.16205602395034863,0.0879120065077048,0.07189276927353459,0.0789942745091717,0.20719344601921544,0.28472073543327486,0.01689295404383864,0.8225815224439801
static_pedestrian,0.7465941470751095,0.982360097323601,0.6823840334192006,0.927007299270073,0.7128287654348896,0.9523809523809524,0.2193260269597809,0.2651162763915442,0.6565336993409193,0.11188176689487672,0.2890372998536845,0.33184423006629055,0.4691034082293048,0.049200443902063934,0.6053189575417277
moving_car,0.8034875789977405,0.9638157894736842,0.022353852667868258,0.12828947368421054,0.3224951839626169,0.48590225563909767,0.15474925411515886,0.1281432371265111,0.030930275486982562,0.81789329743737,0.15562680909155102,2.375478692372315,5.912907263016347,0.9265298828462645,0.0
moving_pedestrian,0.9125422178518335,0.9839939024390244,0.563257644322627,0.7820121951219512,0.764628454776734,0.9023301393728224,0.17328743088322088,0.24712430222755888,0.1532259669851663,0.22133763105831572,0.05484347368181546,0.4800221007657493,1.1149896121982206,0.08059917815069266,0.706568949749923
