CLASS,mAP,mAR,mFAP,mFAR,mAAP,mAAR,ATE,ASE,AOE,AVE,AAE,ADE,FDE,MR,mAP_MR
static_car,0.7756039749571271,0.9063385661828129,0.7045517727525682,0.8611959977327057,0.7375613459768664,0.8809617693344928,0.1873621762839857,0.16652190291427896,0.12943867288911562,0.10026158329382152,0.22294642716395385,0.30101713412039305,0.42558981487415803,0.029573403660298023,0.6878233301837553
static_pedestrian,0.5365024626945625,0.9332718681571972,0.48780364785047176,0.8868272444393223,0.50936377288516,0.9079956864617461,0.30238706557378986,0.3045110036121227,0.8030252981554066,0.15742563425891046,0.24109714891468675,0.4493123330076199,0.6072840800792146,0.08240175224388747,0.4324184803086785
moving_car,0.8142592035039464,0.9150489330980267,0.025022127645004808,0.15423953152575004,0.16002539925858505,0.30478043134468613,0.21022673140498344,0.16521438121613277,0.03205953709293848,0.6955156389758811,0.04697160312456751,4.010528265524451,6.3328613410118235,0.869244344056406,0.010957379987620482
moving_pedestrian,0.8829619901098067,0.982358496930446,0.4534573593932445,0.6768535384200229,0.590166404882233,0.7792740046838408,0.17561496012862068,0.2700489536128043,0.17599968600918242,0.22870603985679627,0.0445955990904747,0.8054135520860621,1.173561080561941,0.1194090267544044,0.40668216043427513
